datetime,num_orders
3/1/2018 0:00,9
3/1/2018 0:10,14
3/1/2018 0:20,28
3/1/2018 0:30,20
3/1/2018 0:40,32
3/1/2018 0:50,21
3/1/2018 1:00,7
3/1/2018 1:10,5
3/1/2018 1:20,17
3/1/2018 1:30,12
3/1/2018 1:40,19
3/1/2018 1:50,25
3/1/2018 2:00,22
3/1/2018 2:10,12
3/1/2018 2:20,19
3/1/2018 2:30,8
3/1/2018 2:40,6
3/1/2018 2:50,4
3/1/2018 3:00,8
3/1/2018 3:10,17
3/1/2018 3:20,7
3/1/2018 3:30,4
3/1/2018 3:40,10
3/1/2018 3:50,20
3/1/2018 4:00,13
3/1/2018 4:10,17
3/1/2018 4:20,5
3/1/2018 4:30,2
3/1/2018 4:40,3
3/1/2018 4:50,3
3/1/2018 5:00,3
3/1/2018 5:10,2
3/1/2018 5:20,0
3/1/2018 5:30,1
3/1/2018 5:40,0
3/1/2018 5:50,0
3/1/2018 6:00,0
3/1/2018 6:10,0
3/1/2018 6:20,2
3/1/2018 6:30,1
3/1/2018 6:40,7
3/1/2018 6:50,2
3/1/2018 7:00,0
3/1/2018 7:10,1
3/1/2018 7:20,1
3/1/2018 7:30,2
3/1/2018 7:40,4
3/1/2018 7:50,7
3/1/2018 8:00,9
3/1/2018 8:10,8
3/1/2018 8:20,6
3/1/2018 8:30,5
3/1/2018 8:40,2
3/1/2018 8:50,4
3/1/2018 9:00,4
3/1/2018 9:10,7
3/1/2018 9:20,14
3/1/2018 9:30,20
3/1/2018 9:40,13
3/1/2018 9:50,11
3/1/2018 10:00,17
3/1/2018 10:10,13
3/1/2018 10:20,2
3/1/2018 10:30,8
3/1/2018 10:40,15
3/1/2018 10:50,9
3/1/2018 11:00,6
3/1/2018 11:10,7
3/1/2018 11:20,16
3/1/2018 11:30,23
3/1/2018 11:40,22
3/1/2018 11:50,22
3/1/2018 12:00,11
3/1/2018 12:10,8
3/1/2018 12:20,4
3/1/2018 12:30,1
3/1/2018 12:40,3
3/1/2018 12:50,3
3/1/2018 13:00,8
3/1/2018 13:10,9
3/1/2018 13:20,9
3/1/2018 13:30,1
3/1/2018 13:40,5
3/1/2018 13:50,0
3/1/2018 14:00,5
3/1/2018 14:10,13
3/1/2018 14:20,16
3/1/2018 14:30,6
3/1/2018 14:40,5
3/1/2018 14:50,3
3/1/2018 15:00,4
3/1/2018 15:10,7
3/1/2018 15:20,16
3/1/2018 15:30,19
3/1/2018 15:40,11
3/1/2018 15:50,9
3/1/2018 16:00,6
3/1/2018 16:10,6
3/1/2018 16:20,8
3/1/2018 16:30,8
3/1/2018 16:40,9
3/1/2018 16:50,6
3/1/2018 17:00,5
3/1/2018 17:10,7
3/1/2018 17:20,9
3/1/2018 17:30,8
3/1/2018 17:40,9
3/1/2018 17:50,6
3/1/2018 18:00,14
3/1/2018 18:10,12
3/1/2018 18:20,13
3/1/2018 18:30,10
3/1/2018 18:40,7
3/1/2018 18:50,17
3/1/2018 19:00,16
3/1/2018 19:10,10
3/1/2018 19:20,7
3/1/2018 19:30,5
3/1/2018 19:40,2
3/1/2018 19:50,5
3/1/2018 20:00,12
3/1/2018 20:10,8
3/1/2018 20:20,10
3/1/2018 20:30,4
3/1/2018 20:40,11
